,Date,TotalCash,TotalValue
5234,2020-10-21,99861.5625,100161.672515
5235,2020-10-22,99861.5625,100159.792541
5236,2020-10-23,99861.5625,100158.622527
5237,2020-10-26,99861.5625,100165.012511
5238,2020-10-27,99861.5625,100166.182525
5239,2020-10-28,99861.5625,100177.742522
5240,2020-10-29,99861.5625,100174.422515
5241,2020-10-30,99861.5625,100177.862517
5242,2020-11-02,99861.5625,100174.20251399999
5243,2020-11-03,99861.5625,100168.372527
5244,2020-11-04,99861.5625,100160.862517
5245,2020-11-05,99861.5625,100154.16253599999
5246,2020-11-06,99861.5625,100154.242522
5247,2020-11-09,99861.5625,100149.842528
5248,2020-11-10,99861.5625,100150.362517
5249,2020-11-11,99861.5625,100147.732513
5250,2020-11-12,99861.5625,100151.192535
5251,2020-11-13,99861.5625,100146.30252
5252,2020-11-16,99861.5625,100141.83251899999
5253,2020-11-17,99861.5625,100143.78253099999
5254,2020-11-18,99861.5625,100148.122527
5255,2020-11-19,99861.5625,100146.622527
5256,2020-11-20,99861.5625,100149.072539
5257,2020-11-23,99861.5625,100146.942535
5258,2020-11-24,99861.5625,100141.182525
5259,2020-11-25,99861.5625,100141.742522
5260,2020-11-27,99861.5625,100140.732513
5261,2020-11-30,99861.5625,100142.342528
5262,2020-12-01,99861.5625,100138.382537
5263,2020-12-02,99861.5625,100137.612517
5264,2020-12-03,99861.5625,100137.712524
5265,2020-12-04,99861.5625,100134.55252
5266,2020-12-07,99861.5625,100135.31253
5267,2020-12-08,99861.5625,100134.232513
5268,2020-12-09,99861.5625,100137.55252
5269,2020-12-10,99861.5625,100137.672515
5270,2020-12-11,99861.5625,100138.10253799999
5271,2020-12-14,99861.5625,100139.742522
5272,2020-12-15,99861.5625,100134.81253
5273,2020-12-16,99861.5625,100134.232513
5274,2020-12-17,99861.5625,100132.16253599999
5275,2020-12-18,99861.5625,100135.222533
5276,2020-12-21,99861.5625,100136.542541
5277,2020-12-22,99861.5625,100137.16253599999
5278,2020-12-23,99861.5625,100136.83251899999
